id,name,latitude,longitude,timezone,bortle_class,source
inks-lake-state-park,Inks Lake State Park observing field,30.7373,-98.3690,America/Chicago,4.5,Austin Astronomical Society
pedernales-falls-state-park,Pedernales Falls State Park Star Theater,30.3079,-98.2436,America/Chicago,4.5,Austin Astronomical Society
